trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country,sentiment
#Eurovision2022,http://twitter.com/search?q=%23Eurovision2022,%23Eurovision2022,,10:20.8,Italy,Negative
#Conceicao,http://twitter.com/search?q=%23Conceicao,%23Conceicao,,10:20.8,Italy,Negative
#Giro104,http://twitter.com/search?q=%23Giro104,%23Giro104,,10:20.8,Italy,Negative
#funiviastresamottarone,http://twitter.com/search?q=%23funiviastresamottarone,%23funiviastresamottarone,,10:20.8,Italy,Negative
#Bernal,http://twitter.com/search?q=%23Bernal,%23Bernal,,10:20.8,Italy,Negative
#BobDylan,http://twitter.com/search?q=%23BobDylan,%23BobDylan,12402,10:20.8,Italy,Negative
#Ryanair,http://twitter.com/search?q=%23Ryanair,%23Ryanair,34597,10:20.8,Italy,Negative
#eurosportciclismo,http://twitter.com/search?q=%23eurosportciclismo,%23eurosportciclismo,,10:20.8,Italy,Negative
#Viaggiando,http://twitter.com/search?q=%23Viaggiando,%23Viaggiando,,10:20.8,Italy,Negative
#TraISimboli,http://twitter.com/search?q=%23TraISimboli,%23TraISimboli,,10:20.8,Italy,Negative
#StaySelcaDay,http://twitter.com/search?q=%23StaySelcaDay,%23StaySelcaDay,115620,10:20.8,Ukraine,Negative
#DONT_FIGHT_THE_FEELING,http://twitter.com/search?q=%23DONT_FIGHT_THE_FEELING,%23DONT_FIGHT_THE_FEELING,2147284,10:20.8,Ukraine,Negative
#StrayKids,http://twitter.com/search?q=%23StrayKids,%23StrayKids,302814,10:20.8,Ukraine,Negative
#Belarus,http://twitter.com/search?q=%23Belarus,%23Belarus,51102,10:20.8,Ukraine,Negative
#cryptocurrency,http://twitter.com/search?q=%23cryptocurrency,%23cryptocurrency,82210,10:20.8,Ukraine,Negative
#blockchain,http://twitter.com/search?q=%23blockchain,%23blockchain,33950,10:20.8,Ukraine,Negative
#maneskin,http://twitter.com/search?q=%23maneskin,%23maneskin,29294,10:20.8,Ukraine,Negative
#Protasevich,http://twitter.com/search?q=%23Protasevich,%23Protasevich,,10:20.8,Ukraine,Negative
#Bitcoin,http://twitter.com/search?q=%23Bitcoin,%23Bitcoin,225026,10:20.8,Ukraine,Negative
#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,21123,10:20.8,Mexico,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,Mexico,Positive
#PoderosoTravieso,http://twitter.com/search?q=%23PoderosoTravieso,%23PoderosoTravieso,,10:20.8,Mexico,Positive
#FREEZE_Tracklist,http://twitter.com/search?q=%23FREEZE_Tracklist,%23FREEZE_Tracklist,131698,10:20.8,Mexico,Positive
#FelizInicioDeSemana,http://twitter.com/search?q=%23FelizInicioDeSemana,%23FelizInicioDeSemana,,10:20.8,Mexico,Positive
#KAI_OnRadar,http://twitter.com/search?q=%23KAI_OnRadar,%23KAI_OnRadar,618547,10:20.8,Mexico,Positive
#Always_shining_SHINee,http://twitter.com/search?q=%23Always_shining_SHINee,%23Always_shining_SHINee,112756,10:20.8,Mexico,Positive
#LaCasaDePapel,http://twitter.com/search?q=%23LaCasaDePapel,%23LaCasaDePapel,,10:20.8,Mexico,Positive
#BAEKHYUN_OnRadar,http://twitter.com/search?q=%23BAEKHYUN_OnRadar,%23BAEKHYUN_OnRadar,583095,10:20.8,Mexico,Positive
#BuenLunes,http://twitter.com/search?q=%23BuenLunes,%23BuenLunes,,10:20.8,Mexico,Positive
#LCDP5,http://twitter.com/search?q=%23LCDP5,%23LCDP5,20159,10:20.8,Mexico,Positive
#KornoTormentoso,http://twitter.com/search?q=%23KornoTormentoso,%23KornoTormentoso,,10:20.8,Mexico,Positive
#VALORANTMasters,http://twitter.com/search?q=%23VALORANTMasters,%23VALORANTMasters,,10:20.8,Mexico,Positive
#EURO2020,http://twitter.com/search?q=%23EURO2020,%23EURO2020,18359,10:20.8,Mexico,Positive
#MiReinoPor,http://twitter.com/search?q=%23MiReinoPor,%23MiReinoPor,,10:20.8,Mexico,Positive
